Index	H0	error_plus	error_minus	year	Dataset	Reference
280	60.0	20.0	-15.0	1999.708	L	Williams, L. \& Saha, P. 2000,in {\it Gravitational Lensing: Recent Progressand Future Goals}, T.Brainerd, J. Hewitt \& C. Kochanek eds. % Astroph9909248. Pixellated lenses
281	71.0	8.0	-8.0	1999.711	TK	Sakai, S. \etal 2000, ApJ 529,698. Astroph9909269 KP TF
282	71.0	6.0	-6.0	1999.715	AK	Mould, J. \etal 2000, ApJ 529,786. Astroph9909260 KP summary  with out FE
283	68.0	6.0	-6.0	1999.717	AK	Mould, J. \etal 2000, ApJ 529,786. Astroph9909260 KP summary  with FE
284	69.0	13.0	-19.0	1999.733	L	Biggs, A. \etal 1999, in Gravitational Lensing: Recent    Progress and FutureGoals', T.G.Brainerd and C. S. Kochanek (eds.). astro-ph/9909377, B0218+357.
285	74.0	4.0	-4.0	1999.803	S	Blakeslee, J. \etal 1999, ApJL 527, L73. Ast9910340.
286	57.0	3.0	-3.0	1999.808	O	Ekholm, T. \etal 1999, A\&A in press. Ast9910387. SN + Cepheids nearby
287	77.0	8.0	-8.0	1999.846	R	Tully, R. B. \& Pierce, M. 2000, ApJ 533, 744. Ast9911052.
288	81.0	10.0	-10.0	1999.847	H	Rothberg, B., \etal 1999, ApJ in press.  Ast9911053.
289	69.0	9.0	-9.0	1999.866	G	Kavelaars, J., Harris, W., Hanes, D., Hesser, J. and Pritchet, C. 2000, ApJ 533, 125. ComaE'sAst9911206
290	61.0	11.0	-11.0	1999.87	L	Williams, L. \& Saha, P. 2000, AJ 119, 439. % Ast9911231. Pixellated lenses
291	58.0	5.0	-5.0	1999.88	SS	Tammann, G., Parodi, B \& Reindl, B. 2000, in IAU Coll. 176, Ast9911284.
292	63.0	21.0	-21.0	1999.92	Z	Reese, E. \etal 2000, ApJ 533, 38. Ast9912071.  SZ to MS0451-03 and CL0016+16.  Assume Lambdacosmology
293	55.0	3.0	-3.0	1999.97	O	Sandage, A. 1999, ApJ 527, 479.
294	70.0	12.0	-12.0	1999.98	O	Novosyadlyj, B. \etal A\&A submitted. Ast9912511. LSS Theory
295	50.0	22.0	-17.0	2000.01	Z	Patel, S., Joy, M., Carlstrom, J., Holder, G., Reese, E., Gomez, P., Hughes,J., Grego, L.\&Holzapfel, W. 1999, BAAS 195, 64.03.  % AAS Mtg Abell 1995
296	70.0	15.0	-32.0	2000.167	O	"Novosyadlyj, B., Durrer, R., Gottl\""ober, S., Lukash, V. \& Apunevych, S 2000, Gravitation\&Cosmology, Supplement 5, in press. Ast0002522. LSS Theory"
297	59.0	6.0	-6.0	2000.267	SS	B. R. Parodi, A. Saha, A. Sandage, G. A. Tammann, 2000, ApJ in press  astro-ph/000463
298	71.0	7.0	-7.0	2000.286	A	Fukugita, M. 2000, Ast0005069.  Summary
299	85.0	5.0	-5.0	2000.35	O	Willick, J. \& Batra, P. 2001, ApJ, 548, 564. Ast0005112. IRAS Flow model
300	92.0	5.0	-5.0	2000.354	O	Willick, J. \& Batra, P. 2001, ApJ, 548, 564. Ast0005112. Phenom Flow model
301	40.0	13.0	-13.0	2000.4	O	Qin, Y.-P. Modern Physics Letters A, 14, 1073. Ast0005578.
302	67.0	2.0	-2.0	2000.436	A	Gott, J. R. III, Vogeley, M., Podariu, S. \& Ratra, B. 2001, ApJ 549, 1. Ast06103.
303	70.0	4.0	-4.0	2000.508	S	Hernandez, M. \etal 2000, MNRAS in press. ast0007022. SN1998bu
304	71.0	7.0	-7.0	2000.524	AK	Freedman, W. Physics Reports, 2000, Vol. 333-334,  13.
305	52.0	14.0	-8.0	2000.53	L	Burud, I. \etal 2000, ApJ 544, 117.   astro-ph/0007136. B1600+434
306	65.0	8.0	-8.0	2000.535	A	Primack, J. 2000, Ast0007187. at 4th International Symposium on Sources and Detection ofDarkMatter in the Universe (DM 2000), Marina del Rey, California, D. Cline,ed. p 3.
307	59.0	38.0	-28.0	2000.586	ZC	Mauskopf, P. et al. 2000, ApJ 538, 505. SZ to A1835 Omega_m=1, Omega_L=0 assumed
308	65.0	2.0	-2.0	2000.591	S	Filippenko, A. \& Riess, A. 2000, in Second Tropical Workshop on Particle Physics and Cosmology: Neutrino and Flavor Physics, ed. J. F. Nieves (New York: American Institute of Physics) Astroph0008057. statistical errors only
309	68.0	10.0	-10.0	2000.63	O	Tegmark, M., Zaldariagga, M. \& Hamilton, A. 2000, Astroph0008167. Concordance fitCMB+LSS
310	62.0	18.0	-18.0	2000.678	LC	Schechter, P. 2000, in ASP conf series. {\it New Cosmology and the Values ofthe Fundamental Parameters}, IAU Symp 201,ed. A. Lazenby \& A. Wilkinson,  Ast0009048 (O_M=03, O_L=0.7)
311	71.0	22.0	-19.0	2000.681	OC	Durrer, R. \& Novosyadlyj, B. 2001, MNRAS 324, 560. Ast0009057, LSS++
312	62.0	8.0	-2.0	2000.794	CC	Padmanabhan, T. \& Sethi, S. 2000, ApJL submitted. Astroph0010309. CMB
313	58.0	6.0	-6.0	2000.814	SS	Tammann, G., Sandage, A. \& Saha, A. 2003, in {\it A Decade of HST Science},eds. M. Livio,K.Noll, & M. Stiavelli, (Cambridge: CUP), p222. Ast0010422. SN Summary
314	71.0	6.0	-6.0	2000.852	LC	Giovi, F.\& Amendola, L. 2001, MNRAS 325, 1097. Ast0011109. Empty Beam
315	64.0	4.0	-4.0	2000.853	LC	Giovi, F.\& Amendola, L. 2001, MNRAS 325, 1097. Ast0011109. Filled Beam
316	69.0	13.0	-19.0	2000.87	L	Biggs, A., Browne, I., Muxlow, T. \& Wilkinson, P. 2001, MNRAS in press. Ast011142.  B0218357
317	76.0	1.0	-1.0	2000.88	F	Jensen, J., Tonry, J., Thompson, R., Ajhar, E., Lauer, T., Rieke, M., Postman, M.,Liu, M.,2001,ApJ 550, 503. AST0011288. Distant SBF
318	73.0	2.0	-2.0	2000.89	F	Jensen, J., Tonry, J., Thompson, R., Ajhar, E., Lauer, T., Rieke, M., Postman, M.,Liu, M.,2001,ApJ 550, 503. AST0011288. More Distant SBF
319	70.0	9.0	-9.0	2000.892	AC	Bond, J. R. et al. 2001, ASP Conf.,  Ast 0011378.
320	73.0	7.0	-7.0	2000.906	SK	Gibson, B, \& Stetson, P. 2001, ApJL 547, L103. Ast0011478. NGC4527 SN1991T.
321	73.0	7.0	-7.0	2000.91	SK	"Gibson, B. \& Brook, C. 2001, in ""New Cosmological Data and the Values of theFundamentalParameters,"" ASP Conf. ed Lazenby, A. \& Wilkinson, A.  Ast0011567."
322	63.0	6.0	-6.0	2000.926	A	Rowan Robinson, M. 2001, ast0012026. in 'IDM2000: 3rd International Workshopon IdentificationofDark Matter', ed N.Spooner (World Scientific)
323	70.0	5.0	-5.0	2000.928	A	Sharpe, J. et al, MNRAS in press. ast 0012027, flow field
324	72.0	8.0	-8.0	2000.95	AK	Freedman, W., Madore, B., Gibson, B., Ferrarese, L., Kelson, D., Sakai, S.,Mould,J.,Kennicutt, R., Ford, H. Graham, J., Huchra, J., Hughes, S., Illingworth, G., Macri, L. \& Stetson, P. ApJ in press. ast0012376
325	71.0	12.0	-9.0	2000.968	A	Fukugita, M. 2001, hep-ph0012214.
326	79.0	4.0	-4.0	2000.984	C	Lahav, O. 2001, in AU Symposium 201, New Cosmological Data and the Values ofthe Fundamental Parameters'. ast0012475
327	66.0	14.0	-11.0	2001.029	ZC	Mason, B., Myers, S. \& Readhead, A. 2001, ApJL 555, L11.  Ast0101169. (Lambda CDM)
328	64.0	14.0	-11.0	2001.029	ZC	Mason, B., Myers, S. \& Readhead, A. 2001, ApJL 555, L11.  Ast0101169. (Standard CDM)
329	66.0	14.0	-11.0	2001.03	ZC	Mason, B., Myers, S. \& Readhead, A. 2001, in press in Proc. 9th Marcel Grossman Mtg. (World scientific).  Ast0101170. (Lambda CDM)
330	64.0	14.0	-11.0	2001.03	ZC	Mason, B., Myers, S. \& Readhead, A. 2001, in press in Proc. 9th Marcel Grossman Mtg. (World scientific).  Ast0101170. (Standard CDM)
331	70.0	7.0	-7.0	2001.098	A	Turner, M. 2001, PASP in press. Ast0102057.
332	73.0	4.0	-4.0	2001.128	H	Watanabe, M., Yasuda, N. \& Itoh, N. 2001, ApJ in press.Ast0102260.
333	68.0	6.0	-6.0	2001.143	A	Krauss, L. 2001, in Third International Conference on the Identification of Dark Matter,York,England (World Scientific) Ast0102305.
334	63.0	7.0	-7.0	2001.164	I	Allen, P. \& Shanks, T. 2004, MNRAS 347, 1101. ast0102447. (original value in2001was 58+/-7)
335	59.0	8.0	-7.0	2001.179	ZC	Jones, M. et al 2001, MNRAS in press. Ast0103046. SZ+SCDM
336	65.0	8.0	-7.0	2001.181	ZC	Jones, M. et al 2001, MNRAS in press. Ast0103046. SZ+LCDM
337	61.0	15.0	-15.0	2001.379	CT	Netterfield, C. \etal 2001, ApJ sub.  Ast0104460. BOOMERANG CMB constraints.
338	69.0	4.0	-4.0	2001.42	F	Tonry, J. 2001, ast0105413, in {\it Astrophysical Ages and Timescales}, ASP Conf. Series,vonHippel, T., Manset, N. \& Simpson, C. eds.
339	69.0	6.0	-5.0	2001.447	L	Patnaik, A. \& Narasimha, D. 2001, MNRAS in press. Ast0106104. B1422+231
340	65.0	6.0	-6.0	2002.5	T	Hendry, M., Rauzy, S., Goodwin, S. \& Gribbin, J.  2001, MNRAS 324, 717. KLUNdiam+line widths.
341	65.0	6.0	-6.0	2001.532	O	Hendry, M., Rauzy, S., Goodwin, S. \& Gribbin, J. 2001, MNRAS 324, 717.  Sosies --diameters+rotation curves
342	59.0	6.0	-6.0	2001.551	SS	Saha, A., Sandage, A., Tammann, G., Dolphin, A., Christensen, J., Panagia, N.\& Macchetto,F.D.ApJ in press. Ast0107391
343	71.0	8.0	-8.0	2001.6	F	Liu, M. \& Graham, J. 2001, ApJL in press. Ast0107471 . N4874
344	60.0	10.0	-10.0	2001.64	H	
345	67.0	8.0	-8.0	2001.796	A	"Feast, M. 2001, in ``Variable Stars 2001"" to appear in Odessa Astronomical Publications 14,Astroph0110360."
346	48.0	4.0	-4.0	2001.847	LC	Gil-Merino, R., Wisotski, L. \& Wambsganss, J. 2001,A\&A in press. HE1104-1805 lens, poortimedelay.
347	62.0	4.0	-4.0	2001.847	LC	Gil-Merino, R., Wisotski, L. \& Wambsganss, J. 2001,A\&A in press. HE1104-1805 lens, poortimedelay. M/L=C+shear L=0, O=1
348	73.0	11.0	-11.0	2001.858	F	Blakeslee, J., Lucey, J., Tonry, J., Hudson, M., Narayanan, V. \& Baris, B. 2002, MNRAS 330, 443Ast111183.
349	58.0	17.0	-15.0	2001.925	LC	Cardone, V., Capozziello, S. \& Piedipalumbo, E. 2002, A\&A in press. Ast112025. PG1115,B1422
350	73.0	11.0	-11.0	2001.922	A	Blakeslee, J. 2002, in A New Era in Cosmology, ASP conference series, eds. T.Shanks \& N.Metcalfe  astro-ph/0112358.
351	65.0	8.0	-8.0	2001.943	LC	Burud, I. et al 2002, A\&A 383, 71. HE2149-2745. astro-ph/0112225
352	77.0	4.0	-4.0	2001.954	LC	Wucknitz, O. 2002, A New Era in Cosmology, ASP conf. ser. B0218+357  astro-ph/0112330
353	72.0	8.0	-8.0	2001.964	A	Lineweaver, C. 2002, in COSMO-01. astro-ph/0112381
354	57.0	2.0	-2.0	2001.98	AS	Tammann, G. et al Astroph112489
355	55.0	12.0	-12.0	2002.046	2	Hamuy, M. \& Pinto, P. 2002, ApJL 566, L63. Astro-ph/0201279
356	72.0	7.0	-7.0	2002.08	AK	Freedman, W. 2002, astroph0202006.
357	91.0	10.0	-10.0	2002.086	T	Russell, D. 2002, ApJ 565, 681. JPH errors. TF on ScI galaxy diameters.
358	44.0	9.0	-9.0	2002.089	LC	Winn, J., Kochanek, C., Mcleod, B., Falco, E., Impey, C. \& Rix, H.-W.  2002,ApJ in press.PKS 1830-211, astroph0201551
359	72.0	6.0	-2.0	2002.143	A	Erdogdu, P.,Ettori, S. \& Lahav, O. 2003, MNRAS 340, 573. astro-ph/0202357
360	48.0	7.0	-4.0	2002.259	L	Kochanek, C. 2002, ApJ in press. Flat Rotation Curves. astroph0204043
361	71.0	6.0	-6.0	2002.261	L	Kochanek, C. 2002, ApJ in press. Constant M/L. astroph0204043
362	62.0	7.0	-7.0	2002.263	L	Kochanek, C. 2002, ApJ in press. Average. astroph0204043
363	71.0	8.0	-8.0	2002.355	L	Hjorth, J. et al. 2002, ApJL 572, L11. astro-ph/0205124. RXJ0911.4+0551
364	72.0	4.0	-13.0	2002.366	A	Plionis, M. 2002, 1st Aegean Cosmology Summer School, astro-ph/0205166.
365	73.0	8.0	-8.0	2002.389	LC	Kochanek, C. 2002, ApJ in press. astro-ph 0205319. Constant M/L
366	51.0	5.0	-5.0	2002.391	LC	Kochanek, C. 2002, ApJ in press. astro-ph 0205319. DM Halo M/L
367	60.0	13.0	-18.0	2002.395	ZC	Reese, E. et al. 2002, ApJ in press, astro-ph0205350. O_M=0.3 O_L=0.7
368	78.0	7.0	-7.0	2002.453	P	Ciardullo, R. et al. 2002, ApJ 577. 31. astro-ph 0206177
369	56.0	6.0	-4.0	2002.597	LC	"Courbin, F., Saha, P. \& Schechter, P. 2002, in ""Dark Matter \& GravitationalLensing,"" eds. Courbin, Minniti) (Berlin: Springer-Verlag). astro-ph0208043. Assumes E-dS cosmo"
370	57.0	2.0	-2.0	2002.594	SS	"Tammann, G. \& Reindl, B. 2002, the proceedings of the XXXVIIth Moriond Astrophysics Meeting ""TheCosmological Model"", Les Arcs, France, March 16-23, 2002, astroph0208176."
371	63.0	17.0	-17.0	2002.645	LC	Fassnacht, C., Xanthopoulos, E., Koopmans, L. \& Rusin, D. 2002, ApJ in press,astroph0208420B1608+656.
372	51.0	9.0	-9.0	2002.663	LC	Burud, I. et al. 2002, A\&A 391, 481. SBS1520+530
373	66.0	6.0	-6.0	2002.655	O	Terry, J., Paturel, G. \& Ekholm, T. 2002, A\&A 393, 57. Sosies.
374	59.0	12.0	-7.0	2002.918	LC	Treu, T. \& Koopmans, L., 2002, MNRAS 337, L6. (PG1115+080)
375	71.0	6.0	-6.0	2002.949	F	Mei, S., Scodeggio, M., SDilva, D. \& Quinn, P. 2003, A\&A in press. Astroph0212262. SBFtoN564 \& N7619.
376	72.0	15.0	-13.0	2002.973	CC	Slosar, A. \et al 2003, MNRAS in press. Astroph0212497. VSA-CMB
377	81.0	10.0	-10.0	2003.04	2	Hamuy, M. 2003, in Carnegie Observatories Astrophysics Series, Vol. 2: Measuring and ModelingtheUniverse, ed. W. L. Freedman (Cambridge: Cambridge Univ. Press) Astroph0301281. SNII.
378	67.0	4.0	-4.0	2003.055	S	Hoeflich, P., Gerardy, C., Linder, E. \& Marion, H. 2003, in {\it Stellar Candles},eds.Gieren etal. Lecture Notes in Physics. astro-ph/0301334
379	71.0	4.0	-3.0	2003.122	OC	Spergel, D. et al. ApJ in press. WMAP   astro-ph/0302209
380	70.0	3.0	-3.0	2003.155	OC	Contaldi, C., Hoekstra, H. \& Lewis, A. 2003, PRL submitted. Astroph0302435
381	56.0	4.0	-4.0	2003.177	O	
382	57.0	2.0	-2.0	2003.215	AS	Tammann, G., Sandage, A. \& Reindel, B. 2003, A\&A in press. Astroph0303378.
383	70.0	10.0	-10.0	2003.218	S	Perlmutter, S. \& Schmidt, B. 2003,  astroph 0303428.
384	77.0	20.0	-20.0	2003.239	Z	Battistelli, E. et al 2003, ApJL 598, L75. astro-ph/0303587. SZ on Coma.
385	66.0	5.0	-5.0	2003.25	A	Melchiorri, A., Bode,P., Bahcall,N. \& Silk,J. 2003, ApJL 586, L12. ArXiv0212276
386	72.0	8.0	-8.0	2003.3	AK	Freedman, W. Kennicutt, R., Mould, J. \& Madore, B. 2003, in {\it A Decade ofHubble SpaceTelescope Science}, M. Livio, K. Noll \& M. Stiavelli, eds. (Cambridge: Cambridge), p 214.
387	57.0	15.0	-15.0	2003.376	2	Leonard, D., Kanbur, S., Ngeow, C. \& Tanvir, N. 2003, ApJ in press. (EPM) Astroph0305259.SN1999em, NGC1637.
388	59.0	11.0	-11.0	2003.376	2	Leonard, D., Kanbur, S., Ngeow, C. \& Tanvir, N. 2003, ApJ in press. (SCM) Astroph0305259.SN1999em, NGC1637.
389	77.0	19.0	-15.0	2003.39	ZC	Saunders et al 2003, MNRAS 341,937. SZ in A773 SCDM
390	85.0	20.0	-17.0	2003.39	ZC	Saunders et al 2003, MNRAS 341,937. SZ in A773 LCDM
391	48.0	3.0	-3.0	2003.422	LC	Kochanek, C. \& Schechter, P. 2003, in Carnegie Symp. \#2, astroph0306040,  lensesisothermal,flat rotation curves.
392	71.0	3.0	-3.0	2003.422	LC	Kochanek, C. \& Schechter, P. 2003, in Carnegie Symp. \#2, astroph0306040,  lensesconstantM/L.
393	61.0	18.0	-18.0	2003.431	ZC	Reese, E. 2003, Carnegie Symposium V2. astroph0306073
394	75.0	7.0	-6.0	2003.45	LC	Koopmans, L., Treu, Y., Fassnacht, C, Blandford, R. \& Surpi, G. 2003, ApJ inpress. astroph036216. B1608+656
395	72.0	7.0	-7.0	2003.648	AK	Freedman, W. \& Turner, M. 2003, Rev. Mod. Phys. 75, 1433. Astroph0308418.
396	58.0	4.0	-3.0	2003.728	ZC	Sereno, M. 2003, A\&A 412, 341. astroph0309591
397	72.0	8.0	-8.0	2003.74	S	Filippenko, A. 2004, in {\it The Early Universe and Observational Cosmology,}ed. N. Breton, J. L.Cervantes-Cota \& M. Salgado (New York: Springer-Verlag), Lect.Notes Phys. 646, 191. Astroph0309739.
398	70.0	4.0	-3.0	2003.825	CC	Tegmark, M. et al. 2004, ApJ in press. astroph0310723. SDSS+WMAP
399	68.0	2.0	-2.0	2003.9	OC	Allen, S., Schmidt, R. \& Bridle, S. 2003, MNRAS 346, 593.
400	78.0	6.0	-6.0	2003.94	LC	Wucknitz, O., Biggs, A. \& Browne, I. 2004, MNRAS 349, 14. astroph0312263.  B0218+357
401	71.0	3.0	-3.0	2004.04	S	Altavilla, G. et al. 2004, MNRAS in press. astroph0401273. SN I.
402	31.0	19.0	-17.0	2004.109	ZC	Grego, L. et al. 2004, ApJ 608, 731. astroph0402139. SZ on MS1137.5+6625
403	73.0	9.0	-5.0	2004.141	CC	Rebolo, R. et al, 2004, astro-ph/0402466.  CMB fit
404	69.0	8.0	-8.0	2004.15	CK	Sakai, S., Ferrarese, L., Kennicutt, R. \& Saha, A. 2004, ApJ 608, 42. astroph0402499 CephFe/H recal
405	70.0	5.0	-5.0	2004.347	LC	York, T. et al. 2005, MNRAS 357, 124. astro-ph/0405115. CLASS B0218+357
406	57.0	15.0	-14.0	2004.35	OC	Odman, C., Hobson,M., Lasenby, A. \& Melchiorri, A. 2004, IJMP-D 13, 1661. astro-ph/0405118. LSS+SN
407	69.0	8.0	-8.0	2004.387	ZC	Schmidt, R., Allen, S. \& Fabian, A. 2004, MNRAS 352, 1413. SZ astro-ph/0405374
408	67.0	5.0	-5.0	2004.409	ZC	Fosalba, P. \& Szapudi, I. 2004, ApJL in press. WMAP reanalysed. astroph0405589
409	75.0	8.0	-8.0	2004.42	LC	Koopmans, L. \& Blandford, R. 2004, Physics Today June issue. B1608+656/
410	73.0	3.0	-3.0	2004.5	OC	Lahav, O. \& Liddle, A. 2004, in Review of Particle Physics. S. Eidelman et al. (ParticleDataGroup), Physics Letters B592, 1. astro-ph/0406681
411	56.0	23.0	-23.0	2004.518	LC	Tortora, C., Piedipalumbo, E. \& Cardone, V. 2004, MNRAS in press. astro-ph/0407134.
412	49.0	6.0	-11.0	2004.52	LC	Tortora, C., Piedipalumbo, E. \& Cardone, V. 2004, MNRAS in press. astro-ph/0407134.
413	72.0	7.0	-7.0	2004.55	AK	Freedman, W. \& Turner, M. 2004, in {\it Measuring and Modeling the Universe}, pg.79. TheCarnegie Observatories Centennial  Symposia (Cambridge: Cambridge).
414	67.0	15.0	-6.0	2004.584	ZC	Udomprasert, P., Mason, B., Readhead, A. \& Pearson, T. 2004, ApJ in press. Astroph408005
415	78.0	6.0	-6.0	2004.68	LC	Schechter, P. 2004, in {\it IAU Symposium No. 225: The Impact of Gravitational Lensing onCosmology,} Y. Mellier and G. Meylan, eds. astro-ph/0408338.
416	64.0	9.0	-7.0	2004.7	LC	Jakobsson, P., Hjorth, J., Burud, I., Letawe, G., Lidman, C. \& Courbin, F. 2004, A\&A inpress. FBQ0951+2635 lens. Astroph04094444
417	70.0	7.0	-7.0	2004.91	CC	Chu, M. et al. ApJ in press. Asroph0411737. CMB fits.
418	76.0	6.0	-6.0	2004.92	LC	Brynjolfsson, A. astroph0411666. Lensing in Plasma Cosmo
419	73.0	5.0	-5.0	2005.58	S	Riess, A., Li, W., Stetson, P., Filippenko, A.V., Jha, S., Kirshner, R., Challis, P., Garnavich, P. \& Chornock, R. 2005, ApJ 627, 579. (N3370 + N3982)
420	74.0	2.0	-2.0	2005.6	OC	Sanchez, A. et al. 2005, MNRAS 366, 189. Astroph0507583 2dF
421	60.0	7.0	-7.0	2005.9	A	Paturel, P \& Teerikorpi, P. A\&A 443, 883.
422	77.0	10.0	-8.0	2005.95	ZC	Bonamente, M. et al. ApJ in press. Astroph0512349 38 Cluster SZ
423	63.0	5.0	-5.0	2005.97	SS	Tammann, G. 2006, Rev. Mod. Astron. 19, 1. Astroph0512584.
424	73.0	3.0	-3.0	2006.218	CC	Spergel, D. et al. 2006, ApJ in press. Astroph0603449. WMAP 3rd year
425	72.0	6.0	-6.0	2006.2	SC	Wang, X., Wang, L., Pain, R., Zhou, X. \& Li, Z. 2006, ApJ in press. astroph0603392109 SN
426	62.0	5.0	-5.0	2006.228	SS	Sandage, A., Tammann, G.A., Saha, A., Reindl, B., Macchetto, F. \& Panagia, N. 2006, ApJ653,843HST Ia Summary. Astroph0603647.
427	74.0	5.0	-5.0	2006.25	S	Ngeow, C. \& Kanbur, 2006, ApJL 642, L29. Astrop0603643.
428	71.0	2.0	-2.0	2006.267	OC	Huetsi, G. 2006, Astroph0604129. SDSS PS
429	70.0	2.0	-2.0	2006.39	SC	Carneiro, S., Pigozzo, C., Borges, H. \& Alcaniz, J. astroph0605607.
430	74.0	4.0	-4.0	2006.45	SC	Peirani, S \& de Freitas Pacheco, J. 2006, in Ann Mtg French Society A\&A, A.Barrett \etaleds. p293
431	72.0	6.0	-6.0	2006.5	S	Wang, X. \etal 2006, ApJ 645, 488. Ia's and dust
432	76.0	10.0	-8.0	2006.6	Z	Bonamente, M. \etal  2006, ApJ 647, 25.  X-Ray+SZ
433	56.0	9.0	-7.0	2006.664	TS	Sandage, A \& Tammann, G. 2006, ApJ Submitted. Astroph0608677.  Virgo TF
434	68.0	8.0	-8.0	2006.739	LC	Oguri, M. 2007, ApJ 660. 1.  Astroph0609694.
435	74.0	6.0	-6.0	2006.75	T	Masters, K., Springob, C., Haynes, M. \& Giovanelli, R. 2006, ApJ 653, in press. astro-ph/0609249SFI TF calibration.
436	63.0	5.0	-5.0	2006.8	FS	Dunn, L. \& Jergen, H. 2006, AJ 132, 1384.  Fornax SBF
437	77.0	5.0	-5.0	2006.853	P	Feldmeier, J., Jacoby, G. \& Phillips, M. 2007, ApJ 657, 76.  Astroph0611231.
438	74.0	4.0	-4.0	2006.917	ZC	Cunha, J., Marassi, L. \& Lima, J.  2007, MNRAS in press. Astroph0611934.
439	74.0	6.0	-6.0	2006.93	AK	Macri, L. \etal 2006, ApJ 652, 1133.  NGC4258
440	49.0	6.0	-11.0	2007.13	LC	Tortora, C. 2007, astroph0702501. Lensing estimates
441	52.0	4.0	-3.0	2007.72	LC	Vuissoz, C. \etal 2007, A\&A 464, 845. J1650+4251   model dependent
442	76.0	8.0	-8.0	2007.364	A	van Leeuwen, F., Feast, M., Whitelock, P. & Laney, C. 2007, MNRAS in press. Astroph7051592
443	73.0	8.0	-8.0	2007.591	S	Wang, X. et al. 2008, ApJ 675, 626.  astroph07080140. M100 SN200
444	71.0	4.0	-4.0	2007.708	OC	Lima, J., Jesus, J. \& Cuhna, J. 2007 astroph0709.2195.
445	77.0	7.0	-7.0	2007.903	O	An, D., Terndrup, D. \& Pinnsoneault, M. 2007, ApJ 671, 1640. Astroph0707.3144. NewCepheidzeropoint.
446	61.0	9.0	-8.0	2007.949	T	Sandage, A. 2008, PASP in press. Astroph 0712.2066
447	70.0	1.0	-1.0	2008.175	CC	Hinshaw, G. et al. 2008, WMAP 5 Year results. Astroph 0803.0732
448	71.0	1.0	-2.0	2008.177	CC	Komatsu, E. et al. 2009, WMAP 5 Year resilts  arXiv0803.0547
449	52.0	4.0	-4.0	2008.833	2	Jones, M. 2008, MSc Thesis, Universidad de Chile. arXiv0810.5538  12 SN II
450	62.0	8.0	-4.0	2009.18	LC	Paraficz, D., Hjorth, J. \& Eliasdottir, A. 2009, arXiv0903.1027 5 SDSS Lenses
451	74.0	4.0	-4.0	2009.45	S	Riess, A. et al.  2009, arXiv:0905.0695
452	64.0	5.0	-5.0	2009.355	S	Zhang, Q-J. \& Wu, Y-L. 2009, SN+BAO+SGL arXiv0905.1234
453	76.0	25.0	-24.0	2009.36	2	Jones, M. et al. 2009. ApJ 696, 1176. SN II
454	72.0	1.0	-1.0	2009.551	M	Dinculescu, A. 2009, Astrophysics \& Space Science, in press. arXiv:0907.3281
455	63.0	2.0	-2.0	2010.277	AS	Sandage, A., Reindl, B. \& Tammann, G. 2010, ApJ 714, 1441.
456	73.0	4.0	-4.0	2010.281	AK	Freedman, W. \& Madore, B. 2010, Ann. Rev 48, xx. ArXiv:1004.1856.
457	62.0	6.0	-4.0	2010.689	LC	Courbin, F. et al. 2010, A\&A in press. ArXiv:1009.1473.  HE0435-1223
458	625.0	50.0	-50.0	1927.0	O	Lemaitre, G. 1927, Ann. of the Scientifc Society of Bruselles 47A, 49
459	460.0	40.0	-50.0	1928.0	O	Robertson, H. 1928, Phil. Mag. 5, 835. (error bars estimated jph)
460	500.0	50.0	-50.0	1929.046	A	Hubble 1929, PNAS 15, 168  (10\% error)
461	558.0	50.0	-50.0	1931.18	A	Hubble and Humason 1931, ApJ 74, 43 (<10\% error)
462	290.0	290.0	-145.0	1931.914	O	Oort 1931, BAN 6, 155.
463	865.0	100.0	-100.0	1935.1	O	Eddington, 1935, MNRAS 95, 636 (Large Number Hypothesis)
464	524.0	50.0	-50.0	1936.0	O	Hubble 1936, Realm of the Nebulae (Dover)
465	260.0	170.0	-100.0	1951.08	O	Behr 1951, Astr. Nachr. 279, 97
466	280.0	28.0	-28.0	1952.694	O	Baade, 1954, Trans IAU 8, 397
467	180.0	36.0	-36.0	1956.3	AS	Humason, Mayall \& Sandage 1956, AJ 61, 97 (error prob > 20%)
468	75.0	25.0	-25.0	1958.35	AS	Sandage 1958, ApJ 127, 513
469	136.0	14.0	-14.0	1958.0	A	Holmberg 1958, Lund. Medd Ser. II 136
470	120.0	25.0	-20.0	1960.27	AV	vandenBergh 1960, JRASC 54, 49
471	100.0	20.0	-17.0	1960.0	AV	vandenBergh 1960, Zf.Ap. 49, 198
472	125.0	5.0	-5.0	1960.79	O	Sersic 1960, Zf.f. Ap. 50, 168
473	130.0	30.0	-30.0	1961.0	O	McVittie, G. 1961, in {\it Fact \& Theory in Cosmology}, (New York: Macmillan).
474	98.0	15.0	-15.0	1962.5	AS	Sandage 1961, IAU Symp 15, 359 (Problems of Extragalactic Research, G. C. McVittie,ed (NewYork:MacMillan))
475	79.0	12.0	-12.0	1968.164	G	Racine 1968, JRASC 62, 327 % M87 GC's
476	75.0	19.0	-15.0	1968.43	AS	Sandage 1968, ApJL 152, L149 % M87 GC's
477	95.0	15.0	-12.0	1970.104	AV	vandenBergh 1970, Nature 225, 503
478	40.0	25.0	-13.0	1973.0	S	Branch, D. \& Patchett, B. 1973, MNRAS 161, 71. % SN
