Index	H0	error_plus	error_minus	year	Dataset	Reference
200	58.0	19.0	-18.0	1998.214	L	Impey \etal Astroph9803207  Lens PG1115+080
201	70.0	10.0	-10.0	1998.22	Z	Cen, R.  ApJL 498, L99. Astroph9803250  SZ summary
202	57.0	7.0	-7.0	1998.223	AS	Tammann, G. 1999, IAU Symp 183 {\it Cosmological Parameters and the Evolutionof the Universe}, K.Sato ed. p 31. Astroph9803255
203	74.0	8.0	-7.0	1998.231	L	Chartas \etal Astroph9803285  0957 x-ray mass  q=0 assumed
204	60.0	6.0	-6.0	1998.25	S	Tripp R. 1998, A\&A 331, 815
205	57.0	7.0	-7.0	1998.344	AS	Tammann, G. in 8th Marcel Grossmann Symp  Astroph9805013
206	62.0	6.0	-6.0	1998.345	G	Della Valle, Kissler-Pattig, Danziger, J. \& Storm, J. 1998, MNRAS 299, 267 %Astroph980524 GCLFcalib of SN Ia
207	61.0	13.0	-15.0	1998.9	L	Romanowsky \& Kochanek 1998, Astroph9805080. Revised number 0957+561
208	68.0	5.0	-5.0	1998.37	A	Nevalainen & Roos, M. 1998, Preprint. A&A in press. Astroph9805136
209	79.0	7.0	-7.0	1998.382	A	Luri, X. Gomez, A., Torra, J., Figueras, F. \& Mennessier, M. 1998, A\&A 335,81L.Astroph9805215
210	61.0	5.0	-5.0	1998.406	O	Baum, W. 1998, AJ 116, 31. Preprint.  Based on Coma distance and ages.
211	77.0	8.0	-8.0	1998.444	O	Harris, W. Durrell, P., Pierce, M. \& Secker, J. 1998, Nature 395, 45. Astroph 9806153 (RGinVirgo)
212	55.0	10.0	-10.0	1998.5	L	Fassnacht, C. \etal in IAU Colloquium 164, (PASP 144) J. Zensus \etal eds, p311. CLASS1608+656. large errors
213	65.0	3.0	-3.0	1998.55	S	Suntzeff, N. \& Phillips, M. 1998, NOAO Newsletter \#54, 2.
214	87.0	11.0	-11.0	1998.6	F	Jensen, J., Tonry, J. \& Luppino, G. 1999, ApJ 510, 71. Astroph 9807326.  SBFto Hydra andComa
215	55.0	8.0	-8.0	1998.621	S	Schaefer, B. 1998, ApJ 509, 80. Astroph9808157  SN1974G in N4414
216	49.0	29.0	-29.0	1998.632	Z	Cooray, A. 1998, A\&A 339, 623. Astroph9808186. SZ+Lensing combined constaints.
217	79.0	12.0	-12.0	1998.667	D	Pierce, M. \& Tripoli, R. in NOAO Newsletter \#55, Sept 98. Dn-sigma to Coma.
218	47.0	14.0	-14.0	1998.67	Z	Furuzawa, A. \etal 1998, ApJ 504, 35. SZ on CL0016+16
219	70.0	18.0	-18.0	1998.678	AT	Madore, B. \etal 1998, Nature 395, 47. (Fornax as a cluster)
220	71.0	13.0	-13.0	1998.681	L	Tonry, J. \& Franx, M. ApJ in press. Astroph 9809064 0957+561 dispersion
221	82.0	8.0	-8.0	1998.714	G	Grillmair, C., Forbes, D. Brodie, J. \& Elson, R. 1998, AJ in press (Astroph9809210) FornaxGlobs
222	77.0	4.0	-4.0	1998.756	R	Tully R. 1998, in Post-Hipparcos Cosmic Candles, Caputo \& Heck, eds. Astroph9809394
223	60.0	10.0	-10.0	1998.775	O	Paturel, G. \etal 1998, A\&A 339, 6771. Hipparcos + sosies Astroph9810155
224	53.0	38.0	-28.0	1998.85	Z	Andreani \etal 1999, ApJ 513, 23. Astroph9811093, SZ to RXJ0658-5557.  Assumed q_0=45659
225	64.0	4.0	-4.0	1998.869	S	Suntzeff, N. \etal 1999, AJ 117, 1175. Astroph9811205, SN1998bu
226	42.0	9.0	-9.0	1998.883	O	Collier, S., Horne, K., Wanders, I. \& Peterson, B. 1999, MNRAS 302, L24. Astroph9811278AGN reverberation mapping
227	69.0	8.0	-8.0	1999.07	R	Shanks, 1999 in Harmonizing Cosmic Distance Scales in a Post-Hipparcos Era, eds D.Egretand A. Heck, ASP Conference Series   TF  Astroph9901335
228	64.0	4.0	-4.0	1999.0	S	Jha, S. \etal 1998, BAAS SN1998bu
229	73.0	8.0	-8.0	1999.02	AK	Freedman, W., Mould, J., Kennicutt, R., \& Madore, B. 1999, IAU Symp 183 {\itCosmologicalParameters and the Evolution of the Universe}, K. Sato ed. p 17.
230	58.0	11.0	-11.0	1999.04	OC	Lineweaver, C. 1999, IAU Symp 183 {\it Cosmological Parameters and the Evolution ofthe Universe},K. Sato ed. p 98.
231	61.0	6.0	-6.0	1999.095	S	Meikle \& Hernandez, 1999, JIIAS. astro-ph/9902056 SN1998bu
232	44.0	7.0	-7.0	1999.155	Z	Komatsu, E. \etal 1999, ApJL, in press.  Astroph9902351, SZ on RXJ1347-1145
233	59.0	5.0	-5.0	1999.21	S	Tammann, G. \& Reindl 1999, in Assergi Supernova Workshop, Astroph9903220
234	77.0	29.0	-24.0	1999.218	L	Bernstein, G. \& Fischer, P. 1999, AJ 118, 14. Astroph9903274, 0957 model+cluster
235	69.0	13.0	-19.0	1999.253	L	Biggs, A., Browne, I., Helbig, P., Koopmans, L. Wilkinson, P. \& Perley, R. 1999, MNRAS 34, 349B0218+357 time delay
236	65.0	5.0	-5.0	1999.258	A	Turner, M. in {\it The Proceedings of Particle Physics and the Universe (Cosmo-98)}, D. O.Caldwell, ed. (AIP, Woodbury, NY)  Astroph9904051.
